phase,request_id,model,status,input_tokens,output_tokens,recorded_latency_ms,assumed_hardware_usd_per_hour,modeled_compute_cost_usd
warmup,req:300f:8743:6f8a:421a:be57:fc83:e163:557b,Qwen/Qwen2.5-1.5B-Instruct,ok,303,55,3427.854544000013,1.0,0.0009521818177777813
golden,req:349f:d94c:963a:4b78:886e:6731:f6e3:0f52,Qwen/Qwen2.5-1.5B-Instruct,ok,310,35,1458.2230470000468,1.0,0.000405061957500013
golden,req:411f:d726:50de:45f6:9bd1:1537:24c3:35a1,Qwen/Qwen2.5-1.5B-Instruct,ok,312,38,1346.3841689999754,1.0,0.00037399560249999316
golden,req:35e7:3449:aff3:4199:b6d0:deab:dcae:d49f,Qwen/Qwen2.5-1.5B-Instruct,ok,296,36,1279.0671390000057,1.0,0.00035529642750000155
golden,req:d095:416f:353c:4517:9dad:1389:b071:7183,Qwen/Qwen2.5-1.5B-Instruct,ok,299,38,1359.1702429999941,1.0,0.0003775472897222206
golden,req:fd4e:169d:26ba:4ba6:a4d4:a36b:f686:e2a7,Qwen/Qwen2.5-1.5B-Instruct,ok,314,51,1874.4100959999628,1.0,0.0005206694711111007
golden,req:f365:56f5:330e:4689:89ea:7e4f:e09a:45f0,Qwen/Qwen2.5-1.5B-Instruct,ok,315,41,1457.874099000037,1.0,0.00040496502750001027
golden,req:347c:7875:19cb:47a1:8bb3:a31c:84a3:c480,Qwen/Qwen2.5-1.5B-Instruct,ok,328,60,2204.63417000002,1.0,0.000612398380555561
golden,req:74bd:9403:ef09:4cba:a08d:6c7a:ee23:635f,Qwen/Qwen2.5-1.5B-Instruct,ok,328,75,3293.595621999998,1.0,0.0009148876727777773
golden,req:8634:4268:80b4:4caf:8bff:06e4:f04b:88f8,Qwen/Qwen2.5-1.5B-Instruct,ok,309,49,1719.7331829999598,1.0,0.0004777036619444333
golden,req:bdb3:ce58:14cd:4176:bee4:5180:95bc:b090,Qwen/Qwen2.5-1.5B-Instruct,ok,298,36,1315.2498659999878,1.0,0.00036534718499999663
golden,req:ce1f:0d70:7d76:4fff:bf2b:03c4:a170:6fce,Qwen/Qwen2.5-1.5B-Instruct,ok,312,49,1729.1339970000195,1.0,0.00048031499916667206
golden,req:f483:e638:0793:40e7:9c6f:8204:f208:06aa,Qwen/Qwen2.5-1.5B-Instruct,ok,329,60,2139.068947999988,1.0,0.0005941858188888855
golden,req:793f:9565:5a55:46f8:8294:8c7c:3451:0c47,Qwen/Qwen2.5-1.5B-Instruct,ok,259,30,1078.4718680000083,1.0,0.00029957551888889117
golden,req:1a41:a337:fb9d:4c30:9cdc:62e6:0daf:0c8c,Qwen/Qwen2.5-1.5B-Instruct,ok,469,25,982.0825630000058,1.0,0.00027280071194444607
golden,req:707f:afe9:8b58:453e:9a37:073c:160b:2270,Qwen/Qwen2.5-1.5B-Instruct,ok,281,8,408.48687499999414,1.0,0.00011346857638888727
golden,req:14f7:af7b:e3c0:40da:a8a2:cb48:1e70:e2ba,Qwen/Qwen2.5-1.5B-Instruct,ok,260,30,1370.2899830000206,1.0,0.0003806361063888946
golden,req:fa59:ddcd:dffb:404a:949d:48a6:a285:4bfc,Qwen/Qwen2.5-1.5B-Instruct,ok,470,25,1122.1719220000068,1.0,0.0003117144227777797
golden,req:91f1:50e1:0a5f:491b:8526:9e2b:81c4:8669,Qwen/Qwen2.5-1.5B-Instruct,ok,297,8,311.23187900004723,1.0,8.645329972223535e-05
golden,req:aca3:b6de:8f54:4381:b429:4079:f07a:8af7,Qwen/Qwen2.5-1.5B-Instruct,ok,256,30,1072.6982470000053,1.0,0.00029797173527777927
golden,req:dba3:fc63:2401:4678:8ea5:f142:8787:53d8,Qwen/Qwen2.5-1.5B-Instruct,ok,466,25,947.6379069999439,1.0,0.00026323275194442883
golden,req:2855:e799:6e4a:4426:9c4a:0eab:d610:bdec,Qwen/Qwen2.5-1.5B-Instruct,ok,278,8,317.38988000000745,1.0,8.816385555555762e-05
golden,req:de4c:072e:42d3:455c:b1d8:8ca2:6c7f:6cc3,Qwen/Qwen2.5-1.5B-Instruct,ok,258,30,1079.6143680000228,1.0,0.0002998928800000063
golden,req:4a30:2549:2ffb:4527:b331:e89b:b2f2:5813,Qwen/Qwen2.5-1.5B-Instruct,ok,468,25,945.8790539999882,1.0,0.0002627441816666634
golden,req:bb5e:bb3c:912f:4285:ab46:cc27:52f0:b745,Qwen/Qwen2.5-1.5B-Instruct,ok,295,8,307.47970400000213,1.0,8.541102888888948e-05
golden,req:5354:90ed:03c5:434c:b8f1:3ad1:a6be:b6d1,Qwen/Qwen2.5-1.5B-Instruct,ok,257,30,1089.6775100000013,1.0,0.0003026881972222226
golden,req:e00b:45a3:f4ab:48a3:9a4c:61b1:fced:a011,Qwen/Qwen2.5-1.5B-Instruct,ok,467,25,945.4103550000355,1.0,0.00026261398750000985
golden,req:f3c3:fa1d:244c:44b3:b202:01a0:0a00:16c7,Qwen/Qwen2.5-1.5B-Instruct,ok,279,8,302.14248300001145,1.0,8.392846750000319e-05
golden,req:f89d:8a18:79d1:47a2:860a:db1e:a68e:5856,Qwen/Qwen2.5-1.5B-Instruct,ok,257,30,1081.3495870000338,1.0,0.0003003748852777872
golden,req:4cba:8e8c:ad40:49fc:8899:2b7a:0a1a:1836,Qwen/Qwen2.5-1.5B-Instruct,ok,467,25,956.8279860000075,1.0,0.00026578555166666877
golden,req:5f6d:4e22:b889:4b7a:b932:9e4d:808a:0438,Qwen/Qwen2.5-1.5B-Instruct,ok,294,8,397.38749500003223,1.0,0.00011038541527778673
golden,req:7c83:5b62:ff61:4b96:9ee6:6306:fbed:9203,Qwen/Qwen2.5-1.5B-Instruct,ok,257,30,1409.6947510000177,1.0,0.0003915818752777827
golden,req:3286:ada8:9828:406e:abf7:185d:5079:dd42,Qwen/Qwen2.5-1.5B-Instruct,ok,467,25,1146.6866979999963,1.0,0.00031852408277777675
golden,req:3e5e:48d9:da65:432e:bc16:dd69:34f6:e5bc,Qwen/Qwen2.5-1.5B-Instruct,ok,279,8,310.6199629999651,1.0,8.628332305554586e-05
golden,req:90c6:d7fa:7290:42f3:8730:50e7:d7ff:6a2e,Qwen/Qwen2.5-1.5B-Instruct,ok,255,30,1053.4952040000007,1.0,0.00029263755666666686
golden,req:2fdb:5b64:ea36:46c9:9013:b61e:5b50:413f,Qwen/Qwen2.5-1.5B-Instruct,ok,465,25,953.8366310000015,1.0,0.0002649546197222226
golden,req:ec34:7070:0b38:4a98:b429:f045:db58:30b4,Qwen/Qwen2.5-1.5B-Instruct,ok,292,8,313.1737850000036,1.0,8.699271805555655e-05
golden,req:f741:31ce:d0f8:46a8:9c50:0b9d:6ffc:eb80,Qwen/Qwen2.5-1.5B-Instruct,ok,280,16,608.4660420000318,1.0,0.00016901834500000884
golden,req:4ea7:8d6d:3c84:4b5a:8973:10b4:aa26:180e,Qwen/Qwen2.5-1.5B-Instruct,ok,282,16,595.9539270000391,1.0,0.00016554275750001087
golden,req:dc18:e5ef:cfc4:4a20:bb7d:6060:d6c1:3ab5,Qwen/Qwen2.5-1.5B-Instruct,ok,279,16,606.0854930000232,1.0,0.00016835708138889535
golden,req:d594:1568:7bc6:44db:bbe5:a4f8:238d:53bb,Qwen/Qwen2.5-1.5B-Instruct,ok,280,16,592.7599729999997,1.0,0.0001646555480555555
golden,req:2017:f09a:5e7a:41b0:97dd:6dae:6b26:f071,Qwen/Qwen2.5-1.5B-Instruct,ok,282,16,578.3837609999978,1.0,0.0001606621558333327
golden,req:5b70:bf8a:df91:4861:af66:fcc1:cd0e:dcdb,Qwen/Qwen2.5-1.5B-Instruct,ok,279,16,593.698298999982,1.0,0.00016491619416666165
golden,req:2020:73d0:2a74:463b:817b:1d4d:819a:2487,Qwen/Qwen2.5-1.5B-Instruct,ok,283,16,592.2015829999623,1.0,0.00016450043972221175
golden,req:f0f9:52f6:ddd6:42dd:adfe:f0b0:86dd:45ed,Qwen/Qwen2.5-1.5B-Instruct,ok,283,16,609.0558089999831,1.0,0.00016918216916666197
golden,req:c49e:5037:a15a:4277:83f0:e770:301e:0602,Qwen/Qwen2.5-1.5B-Instruct,ok,306,48,1759.9477450000336,1.0,0.0004888743736111205
golden,req:0e32:c636:9da5:43f5:bb56:a945:876c:43f7,Qwen/Qwen2.5-1.5B-Instruct,ok,306,32,1406.6490810000118,1.0,0.0003907358558333366
golden,req:0bb1:9606:a008:45f2:b7cb:718c:085e:678b,Qwen/Qwen2.5-1.5B-Instruct,ok,294,32,1561.347779000016,1.0,0.0004337077163888934
golden,req:4768:d48b:6824:4208:83b9:b745:7f7c:bba9,Qwen/Qwen2.5-1.5B-Instruct,ok,293,37,1327.2324669999875,1.0,0.0003686756852777743
golden,req:95fe:78c7:1ae3:4b71:a100:3e7c:f587:0d87,Qwen/Qwen2.5-1.5B-Instruct,ok,310,37,1410.3873489999614,1.0,0.0003917742636111004
golden,req:e9cd:f582:437f:4ebc:9041:ae22:d039:a123,Qwen/Qwen2.5-1.5B-Instruct,ok,309,35,1261.6618129999893,1.0,0.00035046161472221924
golden,req:85d0:bf13:63df:49ff:b650:8ffe:cb01:9830,Qwen/Qwen2.5-1.5B-Instruct,ok,324,27,976.7644370000426,1.0,0.00027132345472223406
golden,req:08ac:c682:88d6:4a39:838e:e51c:65a1:7b4e,Qwen/Qwen2.5-1.5B-Instruct,ok,327,37,1339.4885120000026,1.0,0.00037208014222222293
golden,req:70f6:4aeb:b932:4185:a4df:2d87:e4b3:bcc8,Qwen/Qwen2.5-1.5B-Instruct,ok,256,29,1046.2387579999586,1.0,0.0002906218772222107
golden,req:b462:f579:aa68:42e6:87b2:5ed6:b96e:590e,Qwen/Qwen2.5-1.5B-Instruct,ok,465,24,973.0966500000022,1.0,0.0002703046250000006
golden,req:19a0:4085:2fe7:48fb:a183:ff88:75dc:554c,Qwen/Qwen2.5-1.5B-Instruct,ok,290,8,318.7344589999839,1.0,8.853734972221775e-05
golden,req:0af4:d45d:c3ff:4c12:b968:bb22:f428:2ab6,Qwen/Qwen2.5-1.5B-Instruct,ok,258,30,1089.0182389999836,1.0,0.00030250506638888436
golden,req:594d:c581:aae9:48c7:9cac:bf3e:3d05:fa95,Qwen/Qwen2.5-1.5B-Instruct,ok,468,25,1214.26724600002,1.0,0.00033729645722222775
golden,req:c997:72fd:824c:4905:bcc9:6dcc:566b:0e5d,Qwen/Qwen2.5-1.5B-Instruct,ok,295,8,387.3182189999511,1.0,0.0001075883941666531
golden,req:e444:dd53:fa56:4557:a3d8:b4cb:4b71:5531,Qwen/Qwen2.5-1.5B-Instruct,ok,253,29,1312.5282280000192,1.0,0.00036459117444444976
golden,req:51c2:7857:0af5:44f2:9eb5:bd56:b1d2:f58d,Qwen/Qwen2.5-1.5B-Instruct,ok,462,24,929.3145720000098,1.0,0.0002581429366666694
golden,req:b62f:2d83:935d:4251:904a:99ad:4d3f:53a7,Qwen/Qwen2.5-1.5B-Instruct,ok,287,8,306.8398890000026,1.0,8.523330250000072e-05
golden,req:432f:8e56:f58f:4040:81d6:3b32:b87f:bb71,Qwen/Qwen2.5-1.5B-Instruct,ok,253,30,1052.3818550000215,1.0,0.0002923282930555615
golden,req:0740:2bbb:5822:46a4:b7c2:6468:a29c:653b,Qwen/Qwen2.5-1.5B-Instruct,ok,463,25,967.2518200000013,1.0,0.0002686810611111115
golden,req:37d1:552c:1413:4f59:afb0:5f92:0af6:4865,Qwen/Qwen2.5-1.5B-Instruct,ok,290,8,307.9829999999788,1.0,8.555083333332744e-05
golden,req:69f8:e123:b76d:4acd:a5fb:fab8:a0da:36cb,Qwen/Qwen2.5-1.5B-Instruct,ok,279,16,597.6536709999891,1.0,0.0001660149086111081
golden,req:2ed0:2a62:3d91:4dfd:ac71:1242:b39a:bf3a,Qwen/Qwen2.5-1.5B-Instruct,ok,279,16,587.4272550000228,1.0,0.00016317423750000632
golden,req:0e98:5073:ad05:4647:8c57:0e1e:c3b0:2a67,Qwen/Qwen2.5-1.5B-Instruct,ok,279,16,605.6556650000289,1.0,0.00016823768472223023
golden,req:5a4d:d0d1:c5cb:478c:bf2d:6e1b:75dd:53a1,Qwen/Qwen2.5-1.5B-Instruct,ok,280,16,585.1514869999619,1.0,0.00016254207972221164
golden,req:d63d:bc25:287d:43fc:8b48:b6b1:c97f:d9c4,Qwen/Qwen2.5-1.5B-Instruct,ok,255,30,1095.0469819999853,1.0,0.00030417971722221816
golden,req:1cb9:0768:6d54:4e10:9f81:2d60:e6fc:eace,Qwen/Qwen2.5-1.5B-Instruct,ok,465,25,953.7510249999741,1.0,0.00026493084027777057
golden,req:a222:7757:204f:41f8:89b1:bab8:285a:e380,Qwen/Qwen2.5-1.5B-Instruct,ok,277,8,310.31395400003703,1.0,8.619832055556585e-05
golden,req:dd05:fc43:6599:49ff:a2b6:b591:d239:b300,Qwen/Qwen2.5-1.5B-Instruct,ok,255,30,1065.7036029999745,1.0,0.000296028778611104
golden,req:8f19:cb3e:8ec6:4cb3:bb62:8231:9ec9:b5d1,Qwen/Qwen2.5-1.5B-Instruct,ok,465,25,1268.6978999999496,1.0,0.00035241608333331934
golden,req:b0e4:8a9b:fb91:46da:86f4:1aab:4323:10a4,Qwen/Qwen2.5-1.5B-Instruct,ok,277,8,378.22644999999966,1.0,0.00010506290277777768
golden,req:7427:b7a7:5e13:4741:a211:7b8c:1a78:a122,Qwen/Qwen2.5-1.5B-Instruct,ok,255,30,1357.0159899999794,1.0,0.0003769488861111054
golden,req:d477:05c2:5f1f:40bb:95ce:09ac:0b1d:1009,Qwen/Qwen2.5-1.5B-Instruct,ok,465,25,959.1140219999943,1.0,0.00026642056166666507
golden,req:f513:b1b0:cbe6:4d1f:b4e4:1ce5:d1d3:74f3,Qwen/Qwen2.5-1.5B-Instruct,ok,292,8,312.44263300004604,1.0,8.678962027779057e-05
golden,req:7c95:fe5a:d10e:497e:84fd:6d77:a4bb:00cb,Qwen/Qwen2.5-1.5B-Instruct,ok,255,30,1057.3907929999677,1.0,0.00029371966472221326
golden,req:f174:0a05:a36c:44a3:975a:caf4:f694:dce9,Qwen/Qwen2.5-1.5B-Instruct,ok,465,25,971.6426069999784,1.0,0.00026990072416666067
golden,req:6a33:043a:3bb9:4ee6:b487:ef47:81fb:bb22,Qwen/Qwen2.5-1.5B-Instruct,ok,277,8,319.0360090000013,1.0,8.862111361111146e-05
golden,req:1390:e0de:a1a1:4ff8:87d8:443f:8673:92df,Qwen/Qwen2.5-1.5B-Instruct,ok,254,29,1029.2707039999982,1.0,0.0002859085288888884
golden,req:792b:fe38:3536:402b:b4db:c6d6:c956:cf4c,Qwen/Qwen2.5-1.5B-Instruct,ok,463,24,931.664823999995,1.0,0.00025879578444444303
